<details> <summary> <b>luci-theme-argon new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
8147b78|jjm2473|Fri Feb 2 15:03:44 2024 +0800|fix cbi dropdown
6c65579|Liangbin Lian|Thu Jan 4 18:27:14 2024 +0800|add theme attribute for sub app
cbad1c9|SpeedPartner|Sat Sep 2 19:23:06 2023 +0800|修复 移动端页面 下 [IPv4 WAN 状态] 和 [IPv6 WAN 状态] 显示布局未对齐
4543246|SpeedPartner|Sun Aug 20 22:20:57 2023 +0800|改进:为 登录页面[sysauth] 中 主机名[brand-text] 增加1px的 字间距[letter-spacing]; 并将文本的 底部内间距[padding-bottom] 增加0.1rem,以避免小写字母y和g显示不全
31459ac|SpeedPartner|Sun Aug 20 22:11:06 2023 +0800|Merge pull request #436 from yhl452493373/18.06
43cbe43|SpeedPartner|Sun Aug 20 22:08:30 2023 +0800|精简&统一代码格式
86da322|杨黄林|Sun Aug 20 17:36:19 2023 +0800|Update cascade.less
5abeff5|杨黄林|Sun Aug 20 17:33:46 2023 +0800|Update cascade.css
d7cdcef|杨黄林|Sun Aug 20 17:30:49 2023 +0800|Merge branch 'jerrykuku:18.06' into 18.06
3af71a4|SpeedPartner|Wed Aug 2 22:46:20 2023 +0800|Update README_ZH.md
f583d18|SpeedPartner|Wed Aug 2 22:46:16 2023 +0800|Update README.md
b9c4a73|SpeedPartner|Mon Jul 10 21:18:57 2023 +0800|Update README_ZH.md
74e4b04|SpeedPartner|Mon Jul 10 21:15:33 2023 +0800|Update README_ZH.md
9258ab1|SpeedPartner|Mon Jul 10 21:15:06 2023 +0800|Update README.md
056bf38|SpeedPartner|Mon Jul 10 21:09:10 2023 +0800|Merge pull request #429 from SpeedPartner/18.06
8a6c87d|SpeedPartner|Mon Jul 10 03:17:31 2023 +0800|Update to v1.8.3
cea17af|SpeedPartner|Mon Jul 10 03:15:49 2023 +0800|更新 README_ZH.md
24518b0|SpeedPartner|Mon Jul 10 03:02:15 2023 +0800|改进/缩短 概况[overview] 和 软件包[Software] 中 占用指示条[progress bar] 内 气泡动画[sparkle animation] 的 播放时长至1s,修复在每秒自动刷新状态信息时,气泡动画无法衔接的问题
4a54bc8|SpeedPartner|Mon Jul 10 02:30:32 2023 +0800|适配 [暗色模式]: luci-app-dockerman; -以及 luci-app-istorex 网口配置[Network Guide],网络向导[Network Guide],首页[Quick Start]
1189a91|SpeedPartner|Mon Jul 10 02:24:44 2023 +0800|适配优化 luci-app-dockerman 和 luci-app-diskman 在本主题的按钮布局; -小小优化一下 luci-app-istorex 的 首页[Quick Start]
8209ab6|SpeedPartner|Mon Jul 10 02:11:27 2023 +0800|补充:缩小 所有div的滚动条大小
345f85f|SpeedPartner|Mon Jul 10 01:51:51 2023 +0800|增加pure-min.css中的 按钮 和 选框 的外边距[margin]
b4d2854|SpeedPartner|Tue Jul 4 22:38:04 2023 +0800|更新README.md
db6e1cd|杨黄林|Tue Jun 27 12:28:40 2023 +0800|Update manual_release.yml
d9b36f8|SpeedPartner|Mon Jun 26 19:21:04 2023 +0800|适配/修复 luci-app-ddnsto 中 服务状态 的布局
3fe7d00|SpeedPartner|Mon Jun 26 19:09:17 2023 +0800|Merge pull request #427 from yhl452493373/18.06
ff1271a|SpeedPartner|Mon Jun 26 19:06:44 2023 +0800|统一代码格式
f048381|SpeedPartner|Mon Jun 26 00:43:07 2023 +0800|将textarea与其他选框对齐
e3fe392|杨黄林|Sun Jun 25 17:40:50 2023 +0800|修复 openclash页面tab样式问题 修复 更新固件页面样式问题
17341bb|杨黄林|Wed Jun 21 17:44:31 2023 +0800|移除textarea的阴影。在luci18.6上的其他输入框没有阴影
0b928e1|SpeedPartner|Sun Jun 11 01:44:38 2023 +0800|Update README.md
f0448e1|SpeedPartner|Sun Jun 11 00:54:36 2023 +0800|Update README.md
77e39fc|SpeedPartner|Sun Jun 11 00:54:34 2023 +0800|Update README_ZH.md
6dc07e7|老竭力|Sat Jun 10 23:45:07 2023 +0800|Merge pull request #420 from SpeedPartner/18.06
aa9afb7|SpeedPartner|Fri Jun 9 17:15:35 2023 +0800|Update to v1.8.2
c27b68a|SpeedPartner|Fri Jun 9 05:08:46 2023 +0800|重做:将 左侧导航主菜单[main-left menu] 的 overflow-y 改为 scroll; -避免出现 滚动条[ScrollBar] 时,菜单内元素向左侧挤压
79dbe0b|SpeedPartner|Fri Jun 9 03:49:26 2023 +0800|新增/改进: 为 textarea 增加 边框&内部阴影,并将其设置为垂直居中
bb0f375|SpeedPartner|Thu Jun 8 04:49:00 2023 +0800|改进/修复 均衡负载[luci-app-mwan3] 中 状态[Load Banlancing] 的 子菜单选项卡[SubTabs] 的位置
d0d7678|SpeedPartner|Thu Jun 8 04:28:43 2023 +0800|补充:缩小 所有textarea的滚动条大小
828c36b|SpeedPartner|Tue May 30 03:51:15 2023 +0800|改进:页脚[footer] 中的 链接[link] 使用新标签页打开
4ba9ea9|SpeedPartner|Tue May 30 01:58:00 2023 +0800|Update README.md
4ef9a95|SpeedPartner|Tue May 30 01:57:25 2023 +0800|Update README.md
066f120|老竭力|Mon May 29 23:32:40 2023 +0800|Merge pull request #416 from SpeedPartner/18.06
10400d0|SpeedPartner|Mon May 29 19:11:14 2023 +0800|修复 textarea以及logs 的垂直滚动条宽度过细
d0a6abe|SpeedPartner|Sat May 27 16:42:38 2023 +0800|Update to v1.8.1
bc0a610|SpeedPartner|Sat May 27 16:36:04 2023 +0800|改进 [亮色模式] 下,子菜单选项卡[SubTabs] 的背景颜色
e162338|SpeedPartner|Sat May 27 01:36:45 2023 +0800|更改 [亮色模式] 下,左侧导航主菜单[main-left menu] 的 滚动条[ScrollBar] 颜色,以提升辨识度
fa1fcba|SpeedPartner|Fri May 26 18:45:19 2023 +0800|改进 左侧导航主菜单[main-left menu],避免出现 滚动条[ScrollBar] 时,菜单内元素向左侧挤压
76ae301|SpeedPartner|Fri May 26 17:58:14 2023 +0800|css 和 less 的编码格式统一改为 UTF-8
4d6ecd5|SpeedPartner|Fri May 26 05:34:18 2023 +0800|改进:面板标题[panel-title] 不再随横向滚动条移动
1d6cb62|SpeedPartner|Fri May 26 05:12:23 2023 +0800|适配 luci-app-commands luci-app-ssr-plus; [暗色模式]: luci-app-bypass luci-app-clash luci-app-openclash
0ebcc4a|SpeedPartner|Fri May 26 04:50:55 2023 +0800|排除 所有 按钮[button] 的 文本阴影[text-shadow]
71052c7|SpeedPartner|Fri May 26 04:45:41 2023 +0800|修复 [暗色模式] 中 的某些情况下,表格顶部会出现白色边框线条
4e87fa5|SpeedPartner|Fri May 26 04:37:59 2023 +0800|移除 添加按钮[ADD Button] 的 左侧外边距[margin-left]
fd4d2f6|SpeedPartner|Fri May 26 04:15:59 2023 +0800|改进 滚动条[ScrollBar] 并修复 子菜单选项卡[SubTabs] 和 表格[Table] 过长或者缩小浏览器窗口时,滚动条[ScrollBar] 显示异常
6162cee|jjm2473|Wed May 24 12:11:39 2023 +0800|fix lua generated table on narrow screen
12b3c88|SpeedPartner|Wed May 24 04:05:39 2023 +0800|重新改进footer自动隐藏的判断,并增加隐藏footer的最低高度,避免某些浏览器出现footer与其他元素重叠
99905fc|SpeedPartner|Wed May 24 03:46:20 2023 +0800|为 登录页面[sysauth] 适配windows系统下浏览器窗口缩放到最小宽度500px时的布局
e093e7b|SpeedPartner|Wed May 24 03:26:43 2023 +0800|修复在缩小浏览器窗口时,主题滚动条样式可能丢失的问题
e1066bd|SpeedPartner|Wed May 24 03:00:16 2023 +0800|改进:在 登录页面[sysauth] 中,使用视频类型背景时,视频将保持同比例缩放以铺满整个页面
23eaaf9|SpeedPartner|Wed May 24 02:43:47 2023 +0800|追加:[亮色模式] 下 子菜单选项卡[SubTabs]的背景颜色 可跟随 自定义主色调,背景颜色将降低其透明度到15%
5f3251b|SpeedPartner|Tue May 23 17:03:02 2023 +0800|Merge branch 'jerrykuku:18.06' into 18.06
7eb29a1|SpeedPartner|Tue May 23 06:23:31 2023 +0800|修复 移动端 的 登录页面[sysauth] 因可拖动导致显示出模糊层以外的溢出区域,修复后该页面将不可拖动 -重做footer自动隐藏,修复在浏览器刷新时,且窗口高度过小时,footer不会自动隐藏 -将 登录页面[sysauth] 中 主机名[brand-text] 的文本长度从原先的最长3行 改为 2行 -同时调整footer自动隐藏的窗口高度为<600,避免出现footer与其他元素重叠
f2b02bf|老竭力|Mon May 22 22:51:39 2023 +0800|Update manual_release.yml
ca15ef0|老竭力|Sun May 21 23:11:36 2023 +0800|Merge pull request #414 from SpeedPartner/18.06
b0c99af|SpeedPartner|Sun May 21 20:30:58 2023 +0800|重制主题图标
5c76aa1|老竭力|Sat May 20 16:55:01 2023 +0800|Merge pull request #412 from SpeedPartner/18.06
e5fb8f4|SpeedPartner|Sat May 20 04:40:55 2023 +0800|Update branch 18.06 to v1.8.0
8b48647|SpeedPartner|Sat May 20 04:35:25 2023 +0800|更新主题图标,移除图标中的文本:Openwrt
